Date,Close
2023-01-01,15000
2023-01-02,15050
2023-01-03,15100
2023-01-04,15080
2023-01-05,15120
2023-01-06,15150
2023-01-07,15170
2023-01-08,15200
2023-01-09,15250
2023-01-10,15280
2023-01-11,15300
2023-01-12,15350
2023-01-13,15380
2023-01-14,15400
2023-01-15,15450
2023-01-16,15480
2023-01-17,15500
2023-01-18,15550
2023-01-19,15580
2023-01-20,15600
2023-01-21,15650
2023-01-22,15680
2023-01-23,15700
2023-01-24,15750
2023-01-25,15780
2023-01-26,15800
2023-01-27,15850
2023-01-28,15880
2023-01-29,15900
2023-01-30,15950
2023-01-31,16000
2023-02-01,16050
2023-02-02,16080
2023-02-03,16100
2023-02-04,16150
2023-02-05,16180
2023-02-06,16200
2023-02-07,16250
2023-02-08,16280
2023-02-09,16300
2023-02-10,16350
2023-02-11,16380
2023-02-12,16400
2023-02-13,16450
2023-02-14,16480
2023-02-15,16500
2023-02-16,16550
2023-02-17,16580
2023-02-18,16600
2023-02-19,16650
2023-02-20,16680
2023-02-21,16700
2023-02-22,16750
2023-02-23,16780
2023-02-24,16800
2023-02-25,16850
2023-02-26,16880
2023-02-27,16900
2023-02-28,16950
2023-03-01,17000
2023-03-02,17050
2023-03-03,17080
2023-03-04,17100
2023-03-05,17150
2023-03-06,17180
2023-03-07,17200
2023-03-08,17250
2023-03-09,17280
2023-03-10,17300
2023-03-11,17350
2023-03-12,17380
2023-03-13,17400
2023-03-14,17450
2023-03-15,17480
2023-03-16,17500
2023-03-17,17550
2023-03-18,17580
2023-03-19,17600
2023-03-20,17650
2023-03-21,17680
2023-03-22,17700
2023-03-23,17750
2023-03-24,17780
2023-03-25,17800
2023-03-26,17850
2023-03-27,17900
2023-03-28,17950
2023-03-29,18000
2023-03-30,18050
2023-03-31,18080
2023-04-01,18100
2023-04-02,18150
2023-04-03,18180
2023-04-04,18200
2023-04-05,18250
2023-04-06,18280
2023-04-07,18300
2023-04-08,18350
2023-04-09,18380
2023-04-10,18400
2023-04-11,18450
2023-04-12,18480
2023-04-13,18500
2023-04-14,18550
2023-04-15,18580
2023-04-16,18600
2023-04-17,18650
2023-04-18,18680
2023-04-19,18700
2023-04-20,18750
2023-04-21,18780
2023-04-22,18800
2023-04-23,18850
2023-04-24,18900
2023-04-25,18950
2023-04-26,19000
2023-04-27,19050
2023-04-28,19080
2023-04-29,19100
2023-04-30,19150
2023-05-01,19200
2023-05-02,19250
2023-05-03,19300
2023-05-04,19350
2023-05-05,19400
2023-05-06,19450
2023-05-07,19500
2023-05-08,19550
2023-05-09,19600
2023-05-10,19650
2023-05-11,19700
2023-05-12,19750
2023-05-13,19800
2023-05-14,19850
2023-05-15,19900
2023-05-16,19950
2023-05-17,20000
2023-05-18,20050
2023-05-19,20100
2023-05-20,20150
2023-05-21,20200
2023-05-22,20250
2023-05-23,20300
2023-05-24,20350
2023-05-25,20400
2023-05-26,20450
2023-05-27,20500
2023-05-28,20550
2023-05-29,20600
2023-05-30,20650
2023-05-31,20700
2023-06-01,20750
2023-06-02,20800
2023-06-03,20850
2023-06-04,20900
2023-06-05,20950
2023-06-06,21000
2023-06-07,21050
2023-06-08,21100
2023-06-09,21150
2023-06-10,21200
2023-06-11,21250
2023-06-12,21300
2023-06-13,21350
2023-06-14,21400
2023-06-15,21450
2023-06-16,21500
2023-06-17,21550
2023-06-18,21600
2023-06-19,21650
2023-06-20,21700
2023-06-21,21750
2023-06-22,21800
2023-06-23,21850
2023-06-24,21900
2023-06-25,21950
2023-06-26,22000
2023-06-27,22050
2023-06-28,22100
2023-06-29,22150
2023-06-30,22200
2023-07-01,22250
2023-07-02,22300
2023-07-03,22350
2023-07-04,22400
2023-07-05,22450
2023-07-06,22500
2023-07-07,22550
2023-07-08,22600
2023-07-09,22650
2023-07-10,22700
2023-07-11,22750
2023-07-12,22800
2023-07-13,22850
2023-07-14,22900
2023-07-15,22950
2023-07-16,23000
2023-07-17,23050
2023-07-18,23100
2023-07-19,23150
2023-07-20,23200
2023-07-21,23250
2023-07-22,23300
2023-07-23,23350
2023-07-24,23400
2023-07-25,23450
2023-07-26,23500
2023-07-27,23550
2023-07-28,23600
2023-07-29,23650
2023-07-30,23700
2023-07-31,23750
2023-08-01,23800
2023-08-02,23850
2023-08-03,23900
2023-08-04,23950
2023-08-05,24000
2023-08-06,24050
2023-08-07,24100
2023-08-08,24150
2023-08-09,24200
2023-08-10,24250
2023-08-11,24300
2023-08-12,24350
2023-08-13,24400
2023-08-14,24450
2023-08-15,24500
2023-08-16,24550
2023-08-17,24600
2023-08-18,24650
2023-08-19,24700
2023-08-20,24750
2023-08-21,24800
2023-08-22,24850
2023-08-23,24900
2023-08-24,24950
2023-08-25,25000
2023-08-26,25050
2023-08-27,25100
2023-08-28,25150
2023-08-29,25200
2023-08-30,25250
2023-08-31,25300
2023-09-01,25350
2023-09-02,25400
2023-09-03,25450
2023-09-04,25500
2023-09-05,25550
2023-09-06,25600
2023-09-07,25650
2023-09-08,25700
2023-09-09,25750
2023-09-10,25800
2023-09-11,25850
2023-09-12,25900
2023-09-13,25950
2023-09-14,26000
2023-09-15,26050
2023-09-16,26100
2023-09-17,26150
2023-09-18,26200
2023-09-19,26250
2023-09-20,26300
2023-09-21,26350
2023-09-22,26400
2023-09-23,26450
2023-09-24,26500
2023-09-25,26550
2023-09-26,26600
2023-09-27,26650
2023-09-28,26700
2023-09-29,26750
2023-09-30,26800
2023-10-01,26850
2023-10-02,26900
2023-10-03,26950
2023-10-04,27000
2023-10-05,27050
2023-10-06,27100
2023-10-07,27150
2023-10-08,27200
2023-10-09,27250
2023-10-10,27300
2023-10-11,27350
